mean_validation_error,mean_training_error,mean_validation_error_reg,mean_training_error_reg,seme,Numero di neuroni N,rho,sigma
0.010193201395259758,0.005873710407818896,0.044439835462882396,0.04012034447544153,100,50,0.001,1.0
0.0063108440096940974,0.003213529681122614,0.02961947190385337,0.026522157575281886,100,50,0.001,1.5
0.004879956641373313,0.002161572384995685,0.022505040201062025,0.019786655944684393,100,50,0.001,2.0
0.003950075566249709,0.0015707689978769468,0.018292409706172224,0.01591310313779946,100,50,0.001,2.5
0.003035938601578705,0.0010649460468482284,0.015248304036227265,0.013277311481496787,100,50,0.001,3.0
0.0024221508113276605,0.0007495519851897783,0.013011416961630565,0.01133881813549268,100,50,0.001,3.5
0.002054829678130641,0.0005931707208423028,0.011325689032955295,0.009864030075666958,100,50,0.001,4.0
0.0018208931870692523,0.0004906326511095458,0.010128108056513683,0.008797847520553978,100,50,0.001,4.5
0.001627716824791564,0.0004258090542152283,0.009092222340831551,0.007890314570255217,100,50,0.001,5.0
0.0014713553290510762,0.00037975655162977764,0.008267820727410941,0.007176221949989642,100,50,0.001,5.5
0.0013008359453985257,0.0003183137477666731,0.007575655478953375,0.006593133281321523,100,50,0.001,6.0
0.001128787992238169,0.00027545738333133597,0.006937754925220693,0.00608442431631386,100,50,0.001,6.5
0.0013298150897014026,0.0002445010821644137,0.006751526548862442,0.005666212541325452,100,50,0.001,7.0
0.0011587615289690837,0.0002145047720286158,0.006231610036341372,0.005287353279400904,100,50,0.001,7.5
0.0010251690418108584,0.00018256615749914182,0.005817129407813898,0.004974526523502182,100,50,0.001,8.0
0.0011400079065608287,0.00017882600644518798,0.005646018652698729,0.004684836752583088,100,50,0.001,8.5
0.001012946200550881,0.00016239108458040262,0.005283792614272529,0.004433237498302051,100,50,0.001,9.0
0.0016046903159154641,0.0004846347485620614,0.006410225310764575,0.005290169743411172,100,50,0.0001,1.0
0.0009391334917964887,0.00020321962942308633,0.004064432842206499,0.0033285189798330957,100,50,0.0001,1.5
0.0005037090669504304,0.00012142978944191198,0.0027963511396403374,0.0024140718621318185,100,50,0.0001,2.0
0.0006415954206969601,0.00010066423853978571,0.0024130524547239345,0.0018721212725667604,100,50,0.0001,2.5
0.0004751693839660038,7.100388118972474e-05,0.0019358865597593068,0.0015317210569830279,100,50,0.0001,3.0
0.00045627336920411155,5.410431100281194e-05,0.00170544555073758,0.0013032764925362801,100,50,0.0001,3.5
0.00037564901445121186,4.3583789102184975e-05,0.0014513927105953407,0.0011193274852463139,100,50,0.0001,4.0
0.00032037798927169153,3.538091031359591e-05,0.0012765755816021612,0.0009915785026440656,100,50,0.0001,4.5
0.0003412474927984265,3.269534163234219e-05,0.0011972245278809323,0.0008886723767148481,100,50,0.0001,5.0
0.0002440473897549109,3.0084261207670774e-05,0.0010145648184458394,0.0008006016898985993,100,50,0.0001,5.5
0.00037736277977253556,2.6659182108135693e-05,0.0010816344391256453,0.0007309308414612454,100,50,0.0001,6.0
0.00026312885811451933,2.7471696277368466e-05,0.0009070299510784419,0.000671372789241291,100,50,0.0001,6.5
0.0002705949527452593,2.4707914050521764e-05,0.0008772650607102309,0.0006313780220154934,100,50,0.0001,7.0
0.00036983962921855135,2.2432274496016278e-05,0.0009345791801212186,0.0005871718253986834,100,50,0.0001,7.5
0.00031721489140124044,2.360116674785779e-05,0.0008491775401889502,0.0005555638155355675,100,50,0.0001,8.0
0.0003351123620879847,2.0791136147532414e-05,0.000836594762124673,0.0005222735361842207,100,50,0.0001,8.5
0.0003548708116807465,1.8175768127755207e-05,0.0008287001561516816,0.0004920051125986904,100,50,0.0001,9.0
0.00022686043319132087,4.631224213598222e-05,0.0008477240488115881,0.0006671758577562494,100,50,1e-05,1.0
0.00013409818201030378,2.4676012195334087e-05,0.0005208459568642714,0.00041142378704930177,100,50,1e-05,1.5
0.00017373368678070972,2.0325292908158692e-05,0.00045120336758589245,0.0002977949737133415,100,50,1e-05,2.0
0.00011020633144814648,1.6075892330885728e-05,0.00032604414562535644,0.0002319137065080957,100,50,1e-05,2.5
0.0001596986903794531,1.283656861414534e-05,0.0003354938331531214,0.00018863171138781362,100,50,1e-05,3.0
0.00020068126627344145,1.0556177175229497e-05,0.0003555667538025992,0.0001654416647043872,100,50,1e-05,3.5
0.0001180635450034872,9.519700109674491e-06,0.0002489225422809737,0.000140378697387161,100,50,1e-05,4.0
0.0001334973404320926,8.96375257605318e-06,0.0002525422830061516,0.00012800869515011215,100,50,1e-05,4.5
0.000496604732245246,1.3826120894781725e-05,0.0006258010274919288,0.00014302241614146447,100,50,1e-05,5.0
0.0001230923203255591,6.819240882355272e-06,0.0002256617761312631,0.00010938869668805924,100,50,1e-05,5.5
