mean_validation_error,mean_training_error,mean_validation_error_reg,mean_training_error_reg,seme,Numero di neuroni N,rho,sigma
0.0005406832449412405,0.00015011215109652748,0.0019679862932628096,0.0015774151994180964,9828,100,1e-05,0.5
0.0002234738264920544,4.880472758497902e-05,0.0008382480046070799,0.0006635789057000045,9828,100,1e-05,1.0
0.00016367254726272303,2.2587382267840875e-05,0.000558614534681358,0.00041752936968647596,9828,100,1e-05,1.5
7.271328033495822e-05,1.6397471534734977e-05,0.00037013689005750195,0.0003138210812572787,9828,100,1e-05,2.0
9.96634666951025e-05,1.2650988758304986e-05,0.0003266070542127697,0.0002395945762759722,9828,100,1e-05,2.5
5.514792079459455e-05,9.197266894504663e-06,0.00024172194364837371,0.0001957712897482838,9828,100,1e-05,3.0
8.153768545968797e-05,9.534005067168662e-06,0.00024421655115709897,0.0001722128707645797,9828,100,1e-05,3.5
6.725158298130247e-05,6.493038756854486e-06,0.00020297418447378935,0.00014221564024934134,9828,100,1e-05,4.0
4.906748146682536e-05,6.172486903428535e-06,0.00017195837090633334,0.0001290633763429365,9828,100,1e-05,4.5
8.603596575659997e-05,5.6421216678521495e-06,0.0001945300899449946,0.00011413624585624679,9828,100,1e-05,5.0
6.308360988102977e-05,6.093879133684669e-06,0.0001699258855660169,0.0001129361548186718,9828,100,1e-05,5.5
9.882353726856602e-05,4.670673406783204e-06,0.00018869261342161362,9.45397495598308e-05,9828,100,1e-05,6.0
0.00025629289488187144,4.858067462224903e-06,0.0003510978581143376,9.966303069469102e-05,9828,100,1e-05,6.5
0.00012925328681717777,4.828669749168124e-06,0.00020935077391284355,8.492615684483392e-05,9828,100,1e-05,7.0
